CAMPUS,prioridades_total,prioridades_IFC,qtd,peso,peso_qtd,prio_qtd,decisao_prio_qtd,decisao_peso_qtd,obra_parada,reforma_seguranca,reforma_regularizacao,reforma_acessibilidade,reforma_novo_uso,obra_nova_seguranca,obra_nova_regularizacao,obra_nova_acessibilidade,obra_nova_novo_uso
Abelardo Luz,26.1,2.37,13,4.1,0.32,2.01,1,1,0,2,2,0,1,0,0,1,4
Araquari,14.4,1.31,14,4.4,0.31,1.03,1,1,0,1,3,0,2,0,0,1,3
Blumenau,20.9,1.90,17,4.9,0.29,1.23,1,1,2,1,1,0,2,1,0,0,0
Brusque,6.2,0.56,4,1.2,0.30,1.55,1,1,0,1,0,0,0,0,0,2,0
Camboriú,5.1,0.46,16,3.1,0.19,0.32,0,0,0,0,2,0,3,0,0,0,2
Concórdia,5.5,0.50,15,2.5,0.17,0.37,0,0,0,0,2,0,2,0,0,0,1
Fraiburgo,2.3,0.21,4,1.3,0.33,0.58,0,0,0,1,0,0,1,0,0,0,0
Ibirama,3.9,0.35,6,0.9,0.15,0.65,0,0,0,1,0,0,0,0,0,0,1
Luzerna,11.1,1.01,9,2.1,0.23,1.23,1,0,0,0,1,0,2,0,0,1,2
Reitoria,6.4,0.58,16,1.4,0.09,0.40,0,0,0,0,1,0,1,0,0,0,2
Rio do Sul,15.7,1.43,9,1.7,0.19,1.74,1,0,0,1,1,0,0,0,0,0,2
Santa Rosa do Sul,6.3,0.57,14,2.3,0.16,0.45,0,0,0,1,0,1,0,1,1,0,2
São Bento do Sul,0,0.00,4,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0
São Francisco do Sul,0,0.00,6,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0
Sombrio,0,0.00,5,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0
Videira,3.8,0.35,8,0.8,0.10,0.48,0,0,0,0,1,0,0,0,0,0,1
